iter	TotalF1	MultiClass
0	0.02947489243	3.065027724
1	0.05834396882	3.023185003
2	0.2430311022	2.86858589
3	0.2430311022	2.868584116
4	0.3009953867	2.75259752
5	0.3095585465	2.661433122
6	0.3194306368	2.593454483
7	0.3216133459	2.56019581
8	0.3390761084	2.533098631
9	0.3380636405	2.499118462
10	0.3608645576	2.459238356
11	0.3595361832	2.444290521
12	0.3555367403	2.408372085
13	0.358938672	2.357156973
14	0.3601636972	2.352150248
15	0.3713690056	2.346279721
16	0.366190363	2.330452532
17	0.3728074371	2.298329846
18	0.3806833409	2.259882665
19	0.388257343	2.233542728
20	0.3862253943	2.21476411
21	0.3854904823	2.210966856
22	0.3859348512	2.210920173
23	0.3900941215	2.190631942
24	0.3965419401	2.171186883
25	0.4020471886	2.140870383
26	0.4149733295	2.091594171
27	0.408063114	2.070019576
28	0.4064480404	2.058104316
29	0.4117374179	2.040705066
30	0.4209129745	2.032629795
31	0.4179354634	2.0250538
32	0.4213796113	2.007767687
33	0.4231575022	1.976203055
34	0.4231446591	1.976199815
35	0.4389283512	1.93738338
36	0.4461405229	1.924046971
37	0.4461340891	1.917776001
38	0.4461340891	1.917277715
39	0.4461128489	1.917275265
40	0.4457947246	1.911402385
41	0.4510372191	1.90648441
42	0.4510224579	1.906482633
43	0.4588801703	1.893071045
44	0.4588559437	1.893063544
45	0.4741485612	1.867770968
46	0.474975459	1.85596621
47	0.4779736988	1.847083174
48	0.4801409595	1.824643909
49	0.4827614736	1.80225925
50	0.4827127981	1.799775744
51	0.4827147761	1.799773991
52	0.484829798	1.777991606
53	0.4843620059	1.767562957
54	0.4951875972	1.75263429
55	0.4964922695	1.751252219
56	0.4980307255	1.730524624
57	0.5130125707	1.693816652
58	0.5118623255	1.690217276
59	0.5118477557	1.690073799
60	0.5119102062	1.682113256
61	0.5137358755	1.665523699
62	0.5143264204	1.655824205
63	0.514326278	1.655821443
64	0.5218277598	1.63858011
65	0.5176944623	1.618453594
66	0.5168689802	1.612677367
67	0.5199006064	1.59761726
68	0.5226013859	1.585633293
69	0.5226158469	1.585625601
70	0.5226370812	1.583841583
71	0.5226041434	1.583839187
72	0.5226226637	1.582216691
73	0.5225410444	1.581740516
74	0.5225284991	1.581739008
75	0.5260846818	1.572426738
76	0.5285978669	1.568856892
77	0.5298785588	1.557758673
78	0.5313907179	1.557643455
79	0.5309143798	1.556139947
80	0.5312838118	1.556138836
81	0.5321197959	1.546011436
82	0.5340626075	1.529592461
83	0.5315849879	1.517484919
84	0.5315819264	1.517483344
85	0.5358654281	1.502691872
86	0.5357207419	1.501193059
87	0.5362728523	1.496884772
88	0.5362721001	1.49662822
89	0.5359169677	1.495775926
90	0.5413162253	1.481168877
91	0.5441675969	1.478361571
92	0.5518245863	1.466390413
93	0.5511682486	1.46504212
94	0.5565637495	1.449059059
95	0.5565747925	1.448910525
96	0.55643419	1.446028306
97	0.5630472261	1.44244988
98	0.5630472261	1.44244901
99	0.563609946	1.434398839
100	0.5664315592	1.429131613
101	0.5727592831	1.416054046
102	0.5729881962	1.416052731
103	0.5729898199	1.416051617
104	0.5734234854	1.406725446
105	0.5734899673	1.406724393
106	0.5737498091	1.397377048
107	0.5749784832	1.391824574
108	0.5736217779	1.391394335
109	0.5739054534	1.391393141
110	0.5768722578	1.382758925
111	0.5768671261	1.382705197
112	0.5832427007	1.378451535
113	0.5833007899	1.378450241
114	0.5858600936	1.371688965
115	0.5889680289	1.367095668
116	0.5916292282	1.357474411
117	0.5928330815	1.351092831
118	0.5927022994	1.350909694
119	0.5927020873	1.350908799
120	0.6039805205	1.336362583
121	0.6040534133	1.336346753
122	0.6040936506	1.32367505
123	0.6032241599	1.321071647
124	0.6072615402	1.316517923
125	0.6045442154	1.316513407
126	0.6072290769	1.315368775
127	0.607354864	1.315164686
128	0.6065985963	1.308678403
129	0.6097277593	1.295683536
130	0.6100731557	1.289664578
131	0.6117921285	1.285369295
132	0.6171097126	1.267203997
133	0.6213035185	1.255282732
134	0.6226594068	1.249218345
135	0.6238419388	1.237781699
136	0.6246282557	1.237777847
137	0.6336344372	1.218528717
138	0.6374492159	1.213169278
139	0.639640861	1.201648073
140	0.6500748309	1.186863228
141	0.6506653154	1.186858461
142	0.6702467651	1.159088942
143	0.6707239423	1.147556654
144	0.6743103285	1.137930945
145	0.6748444116	1.125916133
146	0.6744477027	1.115475157
147	0.6858008801	1.093698084
148	0.6920494189	1.078964955
149	0.7014446489	1.063036036
150	0.7051790296	1.049063731
151	0.7118349646	1.031492466
152	0.7196449395	1.01872563
153	0.7195813387	1.010812159
154	0.7235619628	0.9975633372
155	0.7275133791	0.9844935803
156	0.7280070313	0.9754280577
157	0.7307750507	0.9680402327
158	0.733005509	0.9510565041
159	0.7412991995	0.9389278819
160	0.7442353928	0.9253062948
161	0.7470991331	0.9183093158
162	0.7491813973	0.9070567325
163	0.7500103184	0.8972637956
164	0.7509979763	0.8873101836
165	0.7524961097	0.8771601817
166	0.7516994837	0.8704019152
167	0.7580321138	0.8623079608
168	0.7590807756	0.8585232414
169	0.7607694796	0.8516074874
170	0.7640745756	0.8420153868
171	0.766527419	0.8364597264
172	0.7722588046	0.8277745374
173	0.7731016708	0.8176916193
174	0.7783053516	0.8101343075
175	0.7834635252	0.8010775942
176	0.7832490302	0.791294613
177	0.7850396535	0.7826838516
178	0.7880792374	0.7764425954
179	0.7907951941	0.7674039652
180	0.7922833754	0.7619976298
181	0.7936968817	0.7529632029
182	0.793906591	0.7448300185
183	0.7956287503	0.7379433121
184	0.7998221526	0.7289171155
185	0.8043488791	0.7205021293
186	0.8037886848	0.7134422013
187	0.8045760898	0.7054571141
188	0.8084265558	0.6995641851
189	0.8087753862	0.6922773151
190	0.8106478597	0.6848202597
191	0.8113727353	0.6802237768
192	0.8145837101	0.6754928847
193	0.8183141555	0.6714654655
194	0.8187002294	0.6665207124
195	0.8193550024	0.6615774284
196	0.8224925001	0.6545168828
197	0.8240931388	0.6492211481
198	0.8246409297	0.6428224845
199	0.8243343126	0.6375932948
200	0.8252181752	0.6319996461
201	0.8251921996	0.6271002335
202	0.8285171437	0.6221359516
203	0.8292226407	0.6172847157
204	0.8291538984	0.6138642058
205	0.828648453	0.6113855162
206	0.8299469714	0.606981322
207	0.833306804	0.5998516827
208	0.8340509782	0.5979406498
209	0.8337220584	0.5949525448
210	0.8362830057	0.5907873703
211	0.837527249	0.5878203052
212	0.8399118783	0.5830082841
213	0.8413821297	0.5812970116
214	0.8413082062	0.5783220961
215	0.8413042069	0.5760203992
216	0.8420475424	0.5717875321
217	0.8430567459	0.5694841363
218	0.8447198832	0.5640483776
219	0.8453965139	0.5604164357
220	0.8466081279	0.5578519985
221	0.8475074166	0.5549435031
222	0.8480194471	0.5524759619
223	0.8499560751	0.5501345143
224	0.8501539194	0.5471729577
225	0.8512680223	0.5439753752
226	0.8503718183	0.5424966844
227	0.8528666443	0.5383760381
228	0.8539649522	0.5360408382
229	0.8543291298	0.533287104
230	0.854809472	0.5306706252
231	0.8555610559	0.5286674127
232	0.8555467058	0.5276214251
233	0.8570428714	0.5240483524
234	0.8588371914	0.5203418817
235	0.8586020215	0.5190057318
236	0.8588955745	0.5180209776
237	0.8599074455	0.5158347574
238	0.8604006473	0.5134680716
239	0.8604647848	0.5116228523
240	0.8609288514	0.5099062455
241	0.8626007405	0.506621147
242	0.8616006374	0.5037760591
243	0.8617639667	0.5019869258
244	0.8634495361	0.4991524965
245	0.8637551517	0.4979995922
246	0.8644471754	0.495173562
247	0.8654931939	0.4930587653
248	0.8660454533	0.4913915248
249	0.8671662285	0.4895930001
250	0.8681763175	0.487854815
251	0.8700210882	0.4855246018
252	0.8701773562	0.4838738552
253	0.8711388102	0.4821074212
254	0.8719318605	0.4807115295
255	0.8723779496	0.4780145706
256	0.8735574991	0.4756281006
257	0.8736712046	0.4739922852
258	0.8744786393	0.4726842837
259	0.8743205298	0.4704874489
260	0.8746749647	0.4688511049
261	0.8754078116	0.4673208282
262	0.8754326268	0.4650816814
263	0.8752508421	0.4631266171
264	0.8764354207	0.4611603629
265	0.8768082785	0.4597761398
266	0.8768931065	0.4584089247
267	0.8773287521	0.4562399609
268	0.8783807245	0.4543863743
269	0.878681469	0.4532153386
270	0.8789072422	0.4511498708
271	0.8806149712	0.4493072411
272	0.8811668379	0.4475844394
273	0.8820024755	0.4457972554
274	0.8820848702	0.4437884104
275	0.8815188548	0.4411036194
276	0.8827827927	0.4396571937
277	0.8832013144	0.4382736873
278	0.8838382844	0.4364572568
279	0.8833493084	0.4354958771
280	0.8843806489	0.4343395635
281	0.8855752409	0.4327934193
282	0.8854837037	0.4321203191
283	0.88592534	0.4304973387
284	0.8863010983	0.4285056951
285	0.8866129657	0.42709568
286	0.8865307691	0.4258561799
287	0.8863293471	0.4242360162
288	0.8877595788	0.4228152418
289	0.8869139094	0.4213086513
290	0.8872162108	0.4197701141
291	0.8873331585	0.4183283413
292	0.8870562059	0.4163663868
293	0.8874806738	0.4153662034
294	0.8878383578	0.4147606554
295	0.8885819286	0.4136621571
296	0.8884745441	0.4125568779
297	0.8882581402	0.4119232248
298	0.8883779694	0.4102009711
299	0.8888371409	0.4089946972
300	0.888771956	0.407323383
301	0.8891405197	0.4060896491
302	0.8906431569	0.405167392
303	0.8908513473	0.4039835861
304	0.8905051801	0.4031400903
305	0.8911500532	0.401493172
306	0.8911454313	0.4005130903
307	0.8910903223	0.4000420781
308	0.89108392	0.3990296142
309	0.8918607679	0.3980837517
310	0.8925845792	0.3967254754
311	0.89292927	0.3960488654
312	0.8928537163	0.3957396451
313	0.8930938909	0.394680834
314	0.8934114219	0.3931803275
315	0.8940094779	0.3918500301
316	0.8949582095	0.3906729411
317	0.8950485554	0.3898702016
318	0.8954964968	0.3884476893
319	0.8957480753	0.3878355601
320	0.8957652455	0.3873793412
321	0.8965426801	0.3858112428
322	0.8968021305	0.3848012564
323	0.8977410341	0.383496538
324	0.897456362	0.3825955077
325	0.8979435767	0.38129202
326	0.897806936	0.3804132259
327	0.8983958733	0.3791184692
328	0.8983858931	0.3782119104
329	0.8992346331	0.3770910125
330	0.8993505461	0.3757740991
331	0.9000456388	0.3743341927
332	0.9000467799	0.3734167406
333	0.9005084267	0.3726745342
334	0.9009455916	0.3709087125
335	0.9009325498	0.370401969
336	0.9012170514	0.3696979831
337	0.9015061964	0.3691453644
338	0.9013220123	0.3683885515
339	0.9015382418	0.3672397289
340	0.9015984911	0.3660108165
341	0.9021217358	0.3652722781
342	0.9020777013	0.3640870834
343	0.9019215987	0.3634966291
344	0.9025200884	0.3627888548
345	0.9024021727	0.3621251039
346	0.9031633565	0.3613085946
347	0.9032786545	0.3606532848
348	0.9037334046	0.3595078425
349	0.9039761332	0.3585345764
350	0.9046928106	0.358044588
351	0.9048527559	0.3569696357
352	0.9048142796	0.3561745953
353	0.9055360118	0.355477634
354	0.9058132079	0.3542455357
355	0.9060523625	0.3534083986
356	0.9059246314	0.3525725296
357	0.9059211737	0.3517111243
358	0.9061824279	0.3507147596
359	0.9067987953	0.3500522974
360	0.9068121837	0.3487752872
361	0.9068803639	0.3485013831
362	0.906867151	0.3474405433
363	0.9069069961	0.3466585829
364	0.9071041407	0.3454530982
365	0.9071484374	0.3447391731
366	0.9072903795	0.3442536322
367	0.9071993147	0.3438341038
368	0.9075118955	0.3428327108
369	0.9081095153	0.3419639989
370	0.908267899	0.3413057609
371	0.908397821	0.3407102255
372	0.9085064152	0.3399261391
373	0.908494537	0.3389379344
374	0.9088634235	0.3383062679
375	0.9091382362	0.3377730463
376	0.9091567727	0.3368279657
377	0.9089850512	0.3360313174
378	0.9097067186	0.3352512466
379	0.9101380296	0.3341956617
380	0.9101023054	0.333772977
381	0.9101012949	0.3325776292
382	0.9103266789	0.3319774974
383	0.9104198956	0.3311014127
384	0.9105200211	0.3303286482
385	0.9104842424	0.3298673363
386	0.9106452443	0.3289607665
387	0.9104989453	0.3281528259
388	0.9107794383	0.3275206103
389	0.9108834911	0.3270215731
390	0.9110660696	0.3263526737
391	0.91136473	0.3253123838
392	0.9117903208	0.3246170814
393	0.9122416936	0.3240917404
394	0.9121712183	0.3235848844
395	0.9123345611	0.3231245563
396	0.9127721902	0.3222572376
397	0.9123064935	0.321512273
398	0.9123931582	0.3211217207
399	0.9129736373	0.3207058694
400	0.9129188189	0.3200285465
401	0.9129021578	0.319668777
402	0.9131253119	0.3189450115
403	0.9134767975	0.3181760952
404	0.9139482296	0.3175223023
405	0.9141395168	0.3170954481
406	0.9142086459	0.3164344632
407	0.9143239803	0.3161051136
408	0.9144362922	0.3157170511
409	0.914644053	0.3152491222
410	0.9146284605	0.314444851
411	0.9148685649	0.3140560277
412	0.9151059509	0.3135566161
413	0.9155401693	0.3127327372
414	0.9157088501	0.3119759738
415	0.9160884502	0.3113737
416	0.9161743937	0.3109410238
417	0.9163168309	0.3106144389
418	0.9164182464	0.3104311533
419	0.9163829178	0.3099533601
420	0.9164706356	0.3090900417
421	0.9166373685	0.3085456469
422	0.9166769427	0.3082302648
423	0.917512348	0.3072561049
424	0.9174607252	0.3066088589
425	0.9177244112	0.306015651
426	0.9176670893	0.3056734934
427	0.9178465637	0.3052835236
428	0.9176386963	0.3050153546
429	0.9177771549	0.304299907
430	0.9177399069	0.303663649
431	0.9177504739	0.3032157653
432	0.9180660522	0.3027132237
433	0.9184789266	0.3021117933
434	0.9189090812	0.3015021574
435	0.9188603668	0.3008064855
436	0.919059055	0.2999501448
437	0.919117246	0.2995803096
438	0.9193244597	0.2989465761
439	0.9191985477	0.2985491612
440	0.9193849951	0.2980874581
441	0.9194431803	0.2977764887
442	0.9190943501	0.2973731684
443	0.9192519519	0.2971024262
444	0.9193339479	0.296770975
445	0.9195607915	0.2962257417
446	0.9197320797	0.2958194914
447	0.9203867957	0.2954863429
448	0.9204791496	0.2949289978
449	0.9208609107	0.2946836723
450	0.9210796253	0.2943536773
451	0.9211645705	0.2937004062
452	0.9212407575	0.2934185378
453	0.9211551567	0.2931036277
454	0.9210374069	0.2926656421
455	0.9212101738	0.2923605555
456	0.921169224	0.2917159682
457	0.9212970284	0.2912482787
458	0.9214161235	0.2907016065
