iter	Passed	Remaining
0	726	1088669
1	1508	1130074
2	3562	1777918
3	3709	1387474
4	5488	1641046
5	7369	1835023
6	9151	1951851
7	10117	1886826
8	11062	1832729
9	12340	1838800
10	13973	1891509
11	14853	1841839
12	16156	1848087
13	17973	1907751
14	18425	1824103
15	18670	1731705
16	19566	1706901
17	21519	1771771
18	23507	1832310
19	25209	1865490
20	26004	1831441
21	26246	1763259
22	26490	1701132
23	28110	1728798
24	29070	1715181
25	30224	1713498
26	32025	1747164
27	33671	1770151
28	34310	1740350
29	36349	1781110
30	37119	1758966
31	37718	1730335
32	39684	1764161
33	41348	1782830
34	41456	1735269
35	43012	1749179
36	44609	1763902
37	45475	1749608
38	45725	1712961
39	45825	1672617
40	46467	1653553
41	47087	1634618
42	47190	1598987
43	48930	1619144
44	49177	1590079
45	51361	1623464
46	52309	1617155
47	53531	1619331
48	55380	1639931
49	57246	1660150
50	57842	1643395
51	57958	1613930
52	59771	1631876
53	61531	1647676
54	63527	1669030
55	63773	1644453
56	65839	1666788
57	67537	1679110
58	68848	1681546
59	69307	1663372
60	70155	1654987
61	72211	1674835
62	74594	1701461
63	74712	1676350
64	76940	1698616
65	78584	1707431
66	80542	1722652
67	82659	1740713
68	84976	1762329
69	85245	1741451
70	86046	1731829
71	86149	1708628
72	86849	1697719
73	87307	1682430
74	87420	1660981
75	88960	1666846
76	90409	1670811
77	92093	1678939
78	92380	1661674
79	92999	1650749
80	93105	1631072
81	95480	1651107
82	97681	1667648
83	98795	1665411
84	98907	1646523
85	101191	1663770
86	102441	1663792
87	104281	1673245
88	104721	1660251
89	105185	1647901
90	107396	1662882
91	109368	1673819
92	111697	1689881
93	112372	1680806
94	114303	1690483
95	114792	1678847
96	115929	1676791
97	117944	1687324
98	118048	1670570
99	119835	1677699
100	121567	1683893
101	123746	1696058
102	123861	1679945
103	123980	1664204
104	126182	1676423
105	126296	1660914
106	128299	1670289
107	130477	1681709
108	131039	1672257
109	131164	1657439
